epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
89,1333.26,1.05287,1.99321,0.00127,0.60366,0.272,0.38081,0.28963,0.94468,2.58047,0.00171,2.74344e-05,2.74344e-05,2.74344e-05
90,1347.57,0.98551,1.93138,0.00122,0.58315,0.30202,0.38078,0.29305,0.9353,2.56448,0.00169,2.53257e-05,2.53257e-05,2.53257e-05
91,1367.03,0.94912,2.57941,0.00132,0.58364,0.27764,0.38119,0.29276,0.9671,2.61878,0.00176,2.3217e-05,2.3217e-05,2.3217e-05
92,1383.28,0.92984,2.48963,0.0013,0.47578,0.333,0.35938,0.27627,0.9898,2.65803,0.00182,2.11083e-05,2.11083e-05,2.11083e-05
93,1397.7,0.96694,2.47285,0.0013,0.44457,0.35188,0.35647,0.27551,0.9907,2.65658,0.00183,1.89996e-05,1.89996e-05,1.89996e-05
94,1411.87,0.93487,2.50521,0.0013,0.44665,0.35083,0.36045,0.27874,0.98623,2.64104,0.00181,1.68909e-05,1.68909e-05,1.68909e-05
95,1426.23,0.90631,2.45281,0.00125,0.47543,0.30987,0.37145,0.28311,0.98576,2.62122,0.00181,1.47822e-05,1.47822e-05,1.47822e-05
96,1440.25,0.90725,2.42384,0.00126,0.47753,0.29625,0.35602,0.27651,0.96917,2.63513,0.00177,1.26735e-05,1.26735e-05,1.26735e-05
97,1454.31,0.91382,2.41381,0.00124,0.46579,0.34209,0.35317,0.2769,0.97279,2.63293,0.00178,1.05648e-05,1.05648e-05,1.05648e-05
98,1468.49,0.94644,2.3848,0.00127,0.45613,0.34982,0.36048,0.27982,0.97977,2.61356,0.00179,8.4561e-06,8.4561e-06,8.4561e-06
99,1482.58,0.92218,2.43241,0.00128,0.46222,0.33699,0.36225,0.28064,0.97723,2.60843,0.00179,6.3474e-06,6.3474e-06,6.3474e-06
100,1496.63,0.95184,2.38535,0.00128,0.45358,0.34659,0.35485,0.27682,0.98193,2.60778,0.0018,4.2387e-06,4.2387e-06,4.2387e-06
