epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
88,1805.67,0.66495,0.37815,0.00079,0.72291,0.46653,0.51229,0.4382,0.64805,1.38179,0.00113,2.95431e-05,2.95431e-05,2.95431e-05
89,1825.13,0.69207,0.37499,0.0008,0.73015,0.44611,0.51262,0.44374,0.6233,1.39239,0.00109,2.74344e-05,2.74344e-05,2.74344e-05
90,1844.59,0.63999,0.33084,0.00075,0.72788,0.44759,0.51279,0.44043,0.63605,1.39836,0.00111,2.53257e-05,2.53257e-05,2.53257e-05
91,1868.02,0.62091,0.3591,0.00084,0.6319,0.44779,0.50359,0.43569,0.63757,1.42956,0.00112,2.3217e-05,2.3217e-05,2.3217e-05
92,1887.92,0.60201,0.32818,0.00079,0.68548,0.39939,0.49713,0.4265,0.65221,1.45298,0.00115,2.11083e-05,2.11083e-05,2.11083e-05
93,1907.57,0.6058,0.32811,0.00078,0.69381,0.40125,0.50215,0.42648,0.66059,1.44297,0.00117,1.89996e-05,1.89996e-05,1.89996e-05
94,1927.08,0.61307,0.33698,0.00082,0.73852,0.39809,0.5033,0.42988,0.65317,1.43723,0.00115,1.68909e-05,1.68909e-05,1.68909e-05
95,1946.42,0.5765,0.29384,0.00078,0.7387,0.39626,0.5022,0.42726,0.64473,1.43174,0.00113,1.47822e-05,1.47822e-05,1.47822e-05
96,1965.82,0.56956,0.3028,0.00075,0.738,0.40046,0.50767,0.43129,0.63975,1.43146,0.00112,1.26735e-05,1.26735e-05,1.26735e-05
97,1985.16,0.59053,0.29216,0.00077,0.73391,0.40287,0.50459,0.42752,0.64923,1.43636,0.00114,1.05648e-05,1.05648e-05,1.05648e-05
98,2004.41,0.5976,0.28706,0.00077,0.72367,0.40513,0.5058,0.42962,0.6574,1.43566,0.00115,8.4561e-06,8.4561e-06,8.4561e-06
99,2023.74,0.58224,0.29366,0.00079,0.72511,0.40478,0.50498,0.42878,0.65753,1.43351,0.00115,6.3474e-06,6.3474e-06,6.3474e-06
100,2043.19,0.6092,0.30622,0.00077,0.71876,0.40638,0.50473,0.4295,0.65318,1.43434,0.00115,4.2387e-06,4.2387e-06,4.2387e-06
