epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
56,2239.86,0.52909,0.2579,0.00062,0.75182,0.57722,0.62192,0.53521,0.59031,1.25541,0.00103,9.70215e-05,9.70215e-05,9.70215e-05
57,2270.9,0.53859,0.27496,0.00063,0.78548,0.57093,0.61436,0.53543,0.56471,1.24199,0.00099,9.49128e-05,9.49128e-05,9.49128e-05
58,2302.04,0.52843,0.25091,0.00061,0.65797,0.61043,0.63257,0.55151,0.57362,1.14506,0.00099,9.28041e-05,9.28041e-05,9.28041e-05
59,2333.18,0.53219,0.26491,0.00063,0.83261,0.51919,0.64185,0.55307,0.57336,1.16298,0.00098,9.06954e-05,9.06954e-05,9.06954e-05
60,2364.29,0.54083,0.26051,0.00062,0.81598,0.52044,0.63844,0.5533,0.56254,1.15554,0.00099,8.85867e-05,8.85867e-05,8.85867e-05
61,2395.49,0.5425,0.2634,0.00064,0.76901,0.5257,0.61079,0.53509,0.55454,1.21018,0.00097,8.6478e-05,8.6478e-05,8.6478e-05
62,2426.56,0.51125,0.23411,0.0006,0.79871,0.519,0.62744,0.5462,0.55026,1.18987,0.00095,8.43693e-05,8.43693e-05,8.43693e-05
63,2457.59,0.5133,0.24629,0.0006,0.75956,0.52959,0.61961,0.54174,0.53752,1.16323,0.00093,8.22606e-05,8.22606e-05,8.22606e-05
64,2488.49,0.54214,0.25375,0.00062,0.73316,0.55204,0.61161,0.53469,0.54153,1.20483,0.00096,8.01519e-05,8.01519e-05,8.01519e-05
65,2519.58,0.52778,0.24516,0.00061,0.73877,0.51287,0.63791,0.55281,0.55145,1.1756,0.00095,7.80432e-05,7.80432e-05,7.80432e-05
66,2551.09,0.52026,0.24606,0.00061,0.77281,0.48145,0.63464,0.55104,0.56141,1.20137,0.00097,7.59345e-05,7.59345e-05,7.59345e-05
67,2582.06,0.49353,0.22833,0.00061,0.63347,0.60822,0.63742,0.55777,0.53568,1.17278,0.00093,7.38258e-05,7.38258e-05,7.38258e-05
68,2613.18,0.52519,0.24204,0.0006,0.62933,0.65923,0.64142,0.55817,0.53423,1.13799,0.00093,7.17171e-05,7.17171e-05,7.17171e-05
69,2644.24,0.4839,0.22574,0.00058,0.6193,0.60798,0.64041,0.55548,0.54431,1.15396,0.00095,6.96084e-05,6.96084e-05,6.96084e-05
70,2675.36,0.46005,0.19766,0.00057,0.73822,0.51923,0.61995,0.54423,0.54067,1.18287,0.00094,6.74997e-05,6.74997e-05,6.74997e-05
71,2706.48,0.49092,0.21935,0.00058,0.63849,0.58774,0.62805,0.54908,0.54973,1.19465,0.00098,6.5391e-05,6.5391e-05,6.5391e-05
72,2737.55,0.49598,0.21845,0.00058,0.66121,0.59272,0.63518,0.55667,0.54566,1.1565,0.00096,6.32823e-05,6.32823e-05,6.32823e-05
73,2768.72,0.48761,0.22772,0.00059,0.67023,0.56619,0.65292,0.57007,0.54615,1.16977,0.00096,6.11736e-05,6.11736e-05,6.11736e-05
74,2799.74,0.48018,0.21897,0.00057,0.65187,0.6107,0.65466,0.56995,0.54745,1.15407,0.00094,5.90649e-05,5.90649e-05,5.90649e-05
75,2830.82,0.46195,0.2179,0.00054,0.66381,0.5828,0.66118,0.57195,0.54657,1.14521,0.00095,5.69562e-05,5.69562e-05,5.69562e-05
76,2861.91,0.47311,0.22295,0.00056,0.65222,0.63134,0.64733,0.56631,0.53939,1.16161,0.00093,5.48475e-05,5.48475e-05,5.48475e-05
77,2893.03,0.48364,0.21487,0.00054,0.66694,0.6405,0.64251,0.55866,0.5478,1.19622,0.00095,5.27388e-05,5.27388e-05,5.27388e-05
