epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,1048.68,1.36749,0.79123,0.0011,0.64897,0.56531,0.61556,0.49869,1.18856,1.33335,0.0013,0.000707483,0.000707483,0.000707483
56,1067.75,1.36415,0.79433,0.00111,0.64075,0.58604,0.61727,0.50378,1.13916,1.34162,0.00112,0.000692622,0.000692622,0.000692622
57,1086.77,1.30183,0.79485,0.00104,0.75593,0.56227,0.65758,0.47047,1.58739,1.25442,0.0019,0.00067776,0.00067776,0.00067776
58,1105.84,1.33566,0.79495,0.00109,0.7584,0.56126,0.67531,0.52205,1.30148,1.20106,0.0014,0.000662899,0.000662899,0.000662899
59,1125.06,1.318,0.69092,0.00106,0.75664,0.58851,0.69399,0.546,1.23812,1.12071,0.00132,0.000648038,0.000648038,0.000648038
60,1144.51,1.28906,0.74346,0.00105,0.83018,0.51702,0.68425,0.53732,1.22673,1.22221,0.00132,0.000633176,0.000633176,0.000633176
61,1163.72,1.26254,0.7126,0.001,0.63168,0.61061,0.6384,0.50611,1.21137,1.24422,0.0012,0.000618315,0.000618315,0.000618315
62,1182.89,1.2822,0.69831,0.00107,0.66566,0.54659,0.64517,0.48389,1.41507,1.23817,0.00154,0.000603453,0.000603453,0.000603453
63,1202.03,1.25626,0.69626,0.00103,0.6653,0.55981,0.62472,0.48825,1.23676,1.30604,0.00131,0.000588592,0.000588592,0.000588592
64,1221.08,1.24077,0.63654,0.001,0.84754,0.48008,0.60868,0.47963,1.23696,1.31781,0.0013,0.000573731,0.000573731,0.000573731
65,1240.57,1.2575,0.67401,0.00102,0.88835,0.4564,0.6541,0.528,1.12699,1.29953,0.00117,0.000558869,0.000558869,0.000558869
66,1259.58,1.25043,0.66502,0.00105,0.6957,0.55902,0.63411,0.50669,1.14956,1.37156,0.00114,0.000544008,0.000544008,0.000544008
67,1278.7,1.24806,0.68251,0.001,0.5521,0.69425,0.65288,0.54431,1.01125,1.18781,0.001,0.000529146,0.000529146,0.000529146
68,1297.75,1.20189,0.64121,0.00096,0.53163,0.61077,0.6416,0.52794,1.09953,1.25233,0.00113,0.000514285,0.000514285,0.000514285
69,1316.66,1.22697,0.66228,0.00099,0.73461,0.5514,0.62311,0.50196,1.11658,1.24965,0.00112,0.000499423,0.000499423,0.000499423
70,1335.83,1.21602,0.64649,0.001,0.7463,0.54705,0.62625,0.50306,1.17104,1.262,0.00125,0.000484562,0.000484562,0.000484562
71,1355.86,1.20407,0.62725,0.00096,0.84593,0.49356,0.62978,0.51061,1.14048,1.20683,0.00122,0.000469701,0.000469701,0.000469701
72,1374.91,1.18423,0.61902,0.00095,0.72718,0.53364,0.63001,0.51067,1.11725,1.25821,0.0012,0.000454839,0.000454839,0.000454839
73,1393.97,1.2185,0.64267,0.00098,0.80253,0.50861,0.62575,0.50906,1.0944,1.20861,0.00114,0.000439978,0.000439978,0.000439978
74,1413.12,1.11833,0.55703,0.00093,0.68184,0.54808,0.62728,0.5278,0.96754,1.29426,0.00095,0.000425116,0.000425116,0.000425116
75,1432.12,1.12484,0.58283,0.00093,0.71051,0.55055,0.61866,0.51025,1.00585,1.25626,0.00098,0.000410255,0.000410255,0.000410255
76,1451.19,1.21403,0.63501,0.00094,0.63968,0.61739,0.64464,0.5255,1.05054,1.22667,0.00104,0.000395393,0.000395393,0.000395393
77,1470.28,1.18287,0.59715,0.00095,0.65849,0.5994,0.64283,0.53547,1.03085,1.21779,0.00099,0.000380532,0.000380532,0.000380532
78,1489.39,1.15637,0.55326,0.00092,0.78049,0.54745,0.64774,0.53038,1.06202,1.22685,0.00107,0.000365671,0.000365671,0.000365671
79,1508.46,1.18001,0.64011,0.00093,0.63463,0.57818,0.63501,0.52738,1.00494,1.20802,0.00099,0.000350809,0.000350809,0.000350809
80,1527.6,1.15098,0.57082,0.00091,0.58488,0.59652,0.64382,0.53262,1.00547,1.23404,0.001,0.000335948,0.000335948,0.000335948
81,1546.67,1.17118,0.60844,0.00091,0.58376,0.61859,0.64197,0.53192,1.01139,1.19746,0.00101,0.000321086,0.000321086,0.000321086
82,1565.63,1.1566,0.6057,0.00091,0.59133,0.60418,0.65034,0.54132,1.01808,1.24671,0.00099,0.000306225,0.000306225,0.000306225
83,1584.7,1.08016,0.53845,0.00089,0.70438,0.55464,0.65013,0.53254,1.02565,1.23111,0.00102,0.000291364,0.000291364,0.000291364
