epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
60,1132.65,1.13641,0.69131,0.00089,0.76002,0.45458,0.50519,0.41651,1.04216,1.51222,0.00101,8.93156e-05,8.93156e-05,8.93156e-05
61,1151.39,1.10757,0.66624,0.00084,0.53693,0.50445,0.50836,0.41615,1.03294,1.48444,0.00098,8.72192e-05,8.72192e-05,8.72192e-05
62,1170.12,1.1201,0.64529,0.00091,0.56123,0.52105,0.518,0.42431,1.0134,1.50848,0.00095,8.51229e-05,8.51229e-05,8.51229e-05
63,1188.89,1.08814,0.65308,0.00084,0.64969,0.4803,0.5241,0.43357,0.99722,1.53486,0.00095,8.30265e-05,8.30265e-05,8.30265e-05
64,1207.77,1.10195,0.65023,0.00085,0.63976,0.48964,0.52011,0.42223,1.06487,1.52346,0.00101,8.09302e-05,8.09302e-05,8.09302e-05
65,1226.68,1.07868,0.67318,0.00085,0.75864,0.45877,0.51977,0.43407,0.96377,1.53174,0.00093,7.88339e-05,7.88339e-05,7.88339e-05
66,1245.49,1.08204,0.66553,0.00087,0.74847,0.46333,0.52116,0.4303,0.97856,1.5447,0.00094,7.67375e-05,7.67375e-05,7.67375e-05
67,1264.27,1.07617,0.63654,0.00083,0.82356,0.41117,0.51626,0.42672,1.00882,1.58284,0.00097,7.46412e-05,7.46412e-05,7.46412e-05
68,1283.07,1.06379,0.64478,0.00083,0.72902,0.43525,0.5108,0.42041,1.04317,1.56157,0.001,7.25448e-05,7.25448e-05,7.25448e-05
69,1301.87,1.09059,0.68284,0.00086,0.76496,0.4493,0.52047,0.42864,1.00975,1.49975,0.00098,7.04485e-05,7.04485e-05,7.04485e-05
70,1320.6,1.08681,0.58599,0.00085,0.79898,0.45671,0.51891,0.4311,0.99887,1.48906,0.00099,6.83521e-05,6.83521e-05,6.83521e-05
71,1340.11,1.04333,0.61326,0.0008,0.80129,0.45105,0.51893,0.42933,0.99301,1.46684,0.00096,6.62558e-05,6.62558e-05,6.62558e-05
72,1358.92,1.02928,0.61805,0.0008,0.71126,0.47168,0.52343,0.43234,1.04675,1.50355,0.00101,6.41594e-05,6.41594e-05,6.41594e-05
73,1377.72,1.08257,0.6131,0.00084,0.79164,0.42647,0.5195,0.43446,0.97735,1.49098,0.00095,6.20631e-05,6.20631e-05,6.20631e-05
74,1396.64,1.00803,0.55182,0.00082,0.7691,0.46359,0.51568,0.42585,1.01551,1.47819,0.00098,5.99667e-05,5.99667e-05,5.99667e-05
75,1415.47,1.03667,0.56228,0.00083,0.79689,0.44868,0.52172,0.43549,0.96572,1.42912,0.00094,5.78704e-05,5.78704e-05,5.78704e-05
76,1434.3,1.09225,0.65625,0.00082,0.66129,0.4965,0.52185,0.43236,0.98759,1.44987,0.00096,5.5774e-05,5.5774e-05,5.5774e-05
77,1453.08,1.02538,0.56592,0.0008,0.68544,0.50759,0.52643,0.43531,1.00876,1.447,0.00096,5.36777e-05,5.36777e-05,5.36777e-05
78,1471.86,1.03837,0.57674,0.00081,0.65279,0.48102,0.52637,0.43883,0.95769,1.4938,0.00091,5.15814e-05,5.15814e-05,5.15814e-05
79,1490.68,1.08329,0.64107,0.00083,0.72096,0.45225,0.52831,0.43782,0.96641,1.50468,0.00092,4.9485e-05,4.9485e-05,4.9485e-05
